UnitID,Institution Name,Carnegie Classification 2018: Basic (HD2019),Total assets (F1718_F2),Total net assets (F1718_F2),Total revenues and investment return - Total (F1718_F2),Total expenses-Total amount (F1718_F2),Total assets (F1617_F2_RV),Total net assets (F1617_F2_RV),Total revenues and investment return - Total (F1617_F2_RV),Total expenses-Total amount (F1617_F2_RV),
152390,Saint Mary's College,21,341627305,276491328,81811722,63046620,329590551,257726226,76044977,59902271,
231059,Saint Michael's College,21,213895288,139800127,77289814,77840789,218172155,140533507,82237221,81126048,
239716,Saint Norbert College,21,343468089,292899405,112661125,73232153,307462188,253470433,83291041,73702815,
215798,Saint Vincent College,21,266206453,230752920,79050003,57293046,246515886,208995963,77870760,55248013,
199607,Salem College,21,101972275,71342515,26298859,27032395,106354451,73376051,30635863,28384725,
195304,Sarah Lawrence College,21,234454086,152137210,85946991,81310496,223883176,145774966,106173626,78358428,
123165,Scripps College,21,593196174,492276249,102063328,71215159,551581397,463295203,114026342,67841630,
237792,Shepherd University,21,,,,,,,,,
154350,Simpson College,21,157999908,122174138,44990964,39871750,154530316,117054924,45263081,40540478,
195526,Skidmore College,21,817072000,637752000,202147000,164762000,742456000,594762000,210021000,159908000,
167835,Smith College,21,2671632879,2309701481,364713240,236296744,2543068691,2177354971,383303218,232421807,
399911,Soka University of America,21,1668841000,1659872000,176114000,58291000,1547494000,1542049000,128680000,56455000,
233611,Southern Virginia University,21,38750297,21014394,22142578,21785573,35219047,20657389,19286708,19214497,
228343,Southwestern University,21,458264263,397299945,86443919,51711454,400751050,365680528,69656231,49989720,
141060,Spelman College,21,615801515,526545540,156985236,99658582,565211933,469228640,117990011,96384235,
102234,Spring Hill College,21,161868255,83432319,38587741,42347497,165904217,87192075,45882225,44559266,
195216,St Lawrence University,21,560938666,421275278,148989774,130160004,542786549,402445508,172490718,124439635,
174844,St Olaf College,21,848336096,722868813,166745930,122285681,805923602,676999293,178155078,123578472,
163976,St. John's College,21,182863654,141588478,27549413,27839594,183434297,139967201,57459521,29425336,
245652,St. John's College,21,128674399,104016624,19859745,21770272,131623695,105860252,29728714,23642974,
163912,St. Mary's College of Maryland,21,,,,,,,,,
231095,Sterling College,21,5533693,3171647,5257019,5251501,5547288,3166129,5203922,4646316,
230630,Stevens-Henager College,21,2155338,-2563735,2505332,3707800,2499630,-1186125,3073415,4289845,
102270,Stillman College,21,63618524,20642870,14405867,14207251,63567182,20444254,14358703,13888623,
167996,Stonehill College,21,404586220,294120035,115454254,97044364,384521779,275710145,128839483,92843039,
196219,SUNY at Purchase College,21,,,,,,,,,
216278,Susquehanna University,21,350130990,279020059,86154277,82104501,348700989,274970283,100423942,81665928,
216287,Swarthmore College,21,2643223000,2319895000,353069000,169078000,2482276000,2133607000,362020000,161332000,
233718,Sweet Briar College,21,144153067,128021439,29306802,29794075,144913707,127835262,41734323,31236327,
102298,Talladega College,21,90356274,58224446,15945950,14708475,69313553,56986971,16128034,15616205,
142294,The College of Idaho,21,197086298,165923860,31748133,34320782,199941786,169776575,38797194,33294448,
206589,The College of Wooster,21,567169021,513614926,118148690,93762689,540270491,485762884,124873931,92120031,
454184,The King's College,21,45935558,37115089,52181040,24157231,18156940,9091280,24648743,22903707,
221519,The University of the South,21,711275600,618609240,132213920,108889897,691762152,595285217,144265756,104074147,
233897,The University of Virginia's College at Wise,21,,,,,,,,,
124292,Thomas Aquinas College,21,130098709,119022381,34745872,20354771,116402205,104631280,48553538,18631497,
183275,Thomas More College of Liberal Arts,21,5287991,2726101,3944908,2962739,4376547,1743932,2792462,2652907,
176406,Tougaloo College,21,89161831,83021425,26691468,24779512,86364543,55193969,25380420,24086872,
157818,Transylvania University,21,285957148,235474337,35343383,39632104,295125414,239763058,54877456,37226391,
130590,Trinity College,21,967488628,763975185,178695699,147167794,941462068,732447280,209872360,145292051,
196866,Union College,21,845680588,633497670,173729255,132229420,800914252,591997835,203398945,133635829,
128328,United States Air Force Academy,21,,,,,,,,,
197036,United States Military Academy,21,,,,,,,,,
164155,United States Naval Academy,21,,,,,,,,,
483595,Universidad Ana G. Mendez-Online Campus,21,475954,306281,2338291,2677923,938360,540109,933853,2671956,
487296,University of Arizona-South,21,,,,,,,,,
161244,University of Maine at Machias,21,,,,,,,,,
174251,University of Minnesota-Morris,21,,,,,,,,,
183071,University of New Hampshire at Manchester,21,,,,,,,,,
199111,University of North Carolina at Asheville,21,,,,,,,,,
157535,University of Pikeville,21,157392438,51959896,60744982,52579534,188047035,43794448,48387637,48041882,
215275,University of Pittsburgh-Greensburg,21,,,25830734,22893614,,,25478895,22308555,
243151,University of Puerto Rico-Cayey,21,,,,,,,,,
243212,University of Puerto Rico-Ponce,21,,,,,,,,,
236328,University of Puget Sound,21,668355000,550768000,152093000,121567000,639625000,518651000,162280000,118227000,
233374,University of Richmond,21,3063809000,2704396000,452760000,295593000,4897810000,2547228000,724275000,300111000,
207722,University of Science and Arts of Oklahoma,21,,,,,,,,,
218654,University of South Carolina Beaufort,21,,,,,,,,,
449870,University of the West,21,30628917,29189394,7904427,9170269,32079022,30455234,9341141,8616535,
240374,University of Wisconsin-Parkside,21,,,,,,,,,
240426,University of Wisconsin-Superior,21,,,,,,,,,
216524,Ursinus College,21,332721426,251198328,65934852,65617489,330608315,250880965,76901632,64286733,
197133,Vassar College,21,1615709000,1280816000,253591000,194598000,1563331000,1216696000,254810000,185714000,
234085,Virginia Military Institute,21,,,,,,,,,
234164,Virginia Union University,21,86553371,65742858,39144429,37952835,86843665,64551264,39446472,37499016,
234137,Virginia University of Lynchburg,21,7219095,4903045,4430960,4370179,7137242,4842264,4954753,4638675,
234173,Virginia Wesleyan University,21,159859558,117175577,38479823,42909781,152935853,115094751,40261104,39562770,
152673,Wabash College,21,539185373,472103424,75342822,52332126,519984458,448856288,61649612,51317829,
199865,Warren Wilson College,21,103162761,82749222,26331746,26478648,103364281,82896124,29428034,28975359,
154527,Wartburg College,21,210607449,117948577,52642170,50260810,209911626,115708158,58259892,49935792,
216667,Washington & Jefferson College,21,336797862,266054544,66802334,57652288,326087072,256781448,68203512,56237668,
234207,Washington and Lee University,21,2074715000,1814894000,226247000,166566000,2018936000,1755213000,240779000,160919000,
164216,Washington College,21,452219934,370896399,74289849,71662009,433489007,348559381,73685570,69264513,
168218,Wellesley College,21,2812441000,2332770000,382134000,240581000,2569339000,2201706000,393494000,229345000,
197230,Wells College,21,74219478,65425254,25211090,23430605,72440192,63644769,23893665,22825162,
141325,Wesleyan College,21,100492241,82481478,17038052,18696228,102627035,84139654,21709116,18540116,
130697,Wesleyan University,21,1515172000,1155049000,329133000,219470000,1402849000,1047741000,342045000,211512000,
216807,Westminster College,21,217760249,173816864,45394333,40905685,214828885,169349578,45674506,39487844,
179946,Westminster College,21,91834363,77445384,25160030,23504911,89495330,73765549,28021873,25615821,
125727,Westmont College,21,327362133,227656376,65438327,62822535,310101641,225040633,67635677,61492135,
168281,Wheaton College,21,380878753,297181051,83228575,82339892,347130098,296292368,95693001,79572812,
149781,Wheaton College,21,905197813,734480403,186834680,126804949,856562585,683004376,197793990,125095328,
237057,Whitman College,21,820924211,702285717,133374363,86502698,772029866,655414050,146716973,83218746,
125763,Whittier College,21,299629216,224244240,74240818,75404870,303901056,225431035,75235530,76810490,
210401,Willamette University,21,470920000,361102000,107504000,93042000,457045000,346617000,107712000,98601000,
107877,Williams Baptist University,21,42409615,38038685,9465743,9254989,42100494,37827931,12071034,9310808,
168342,Williams College,21,3870877825,3089864263,505200179,249006594,3522014597,2836232348,538554727,236756631,
206525,Wittenberg University,21,235606488,170219167,72904132,52889874,211139537,150409849,59726295,52163632,
218973,Wofford College,21,460340168,353597194,88646969,71831205,463591029,336349052,91416714,67872380,
141361,Young Harris College,21,215767811,147506721,37299187,33913389,211757924,144120923,38416853,34525571,
